Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Train Time (s)
Linear SVC,0.9920983318700615,0.9853479853479854,0.9817518248175182,0.9835466179159049,0.9996793384245392,2.881307363510132
Random Forest,0.9912203687445127,0.9817518248175182,0.9817518248175182,0.9817518248175182,0.9994683768617358,6.923155784606934
Logistic Regression,0.9859525899912204,0.9849624060150376,0.9562043795620438,0.9703703703703703,0.9994346230116873,3.1192424297332764
Multinomial Naive Bayes,0.9850746268656716,0.974169741697417,0.9635036496350365,0.9688073394495413,0.998763765241973,2.9485814571380615
